gene,beta_age,t_mod,p_limma,q_limma,region,rank
201667_at,0.5144101040325537,6.123736761901637,8.004438324020595e-9,1.7831487254420678e-4,ancg,1
218901_at,0.37622530413071087,5.746599656633532,5.100779022732065e-8,5.68150271447011e-4,ancg,2
210066_s_at,0.3631389407070309,5.417766947537213,2.42386683584608e-7,0.001572049541386619,ancg,3
201842_s_at,0.35351738646569253,5.366319383334484,3.07775003644312e-7,0.001572049541386619,ancg,4
210906_x_at,0.3507716280010826,5.3274197997064094,3.6834699853435815e-7,0.001572049541386619,ancg,5
209292_at,0.3450153085140598,5.2971344221789325,4.2340967133454744e-7,0.001572049541386619,ancg,6
210067_at,0.3345831685465143,5.1294160961746345,9.076694989670299e-7,0.002888593346926932,ancg,7
209291_at,0.37215996030579074,5.014998843095459,1.5134929517449697e-6,0.0036578008359135702,ancg,8
221795_at,0.3410426044343484,5.011782594382857,1.535239246358816e-6,0.0036578008359135702,ancg,9
210068_s_at,0.3373739024461751,4.996613261885807,1.6419629375201196e-6,0.0036578008359135702,ancg,10
200848_at,0.3151925448718133,4.939654406084729,2.1108110918474716e-6,0.003921365781938571,ancg,11
217941_s_at,0.36888589392000853,4.926742667638756,2.2339082087135978e-6,0.003921365781938571,ancg,12
201843_s_at,0.3065387005404963,4.9212501780918085,2.2883581795215436e-6,0.003921365781938571,ancg,13
203540_at,0.3694082166658717,4.845751844938396,3.1806608738400434e-6,0.005061113020466761,ancg,14
221008_s_at,0.3652532086588719,4.717529312455728,5.521316217889111e-6,0.008199890759061048,ancg,15
209047_at,0.30907535134555464,4.668763831709765,6.792385067869506e-6,0.009457122634808062,ancg,16
202976_s_at,0.31769423961154536,4.637508306751568,7.751146300010913e-6,0.010066807900647392,ancg,17
202975_s_at,0.275086177320413,4.626058836818905,8.134063931932175e-6,0.010066807900647392,ancg,18
209355_s_at,0.29927200368300777,4.589470223610241,9.484129796388221e-6,0.011119892603902125,ancg,19
204273_at,0.33385147281063243,4.575890913580593,1.0038250088283142e-5,0.011181104860834177,ancg,20
