gene,beta_age,t_mod,p_limma,q_limma,region,rank
203540_at,0.43446148790009576,5.524469324546397,9.921239205947406e-8,0.0011616549670287301,dlpfc,1
201667_at,0.44535939601415453,5.514392769128144,1.0429186757900347e-7,0.0011616549670287301,dlpfc,2
218901_at,0.25072607729179824,4.622652580654453,6.684360360517957e-6,0.04963583191708618,dlpfc,3
209074_s_at,0.2778087567028334,4.477600692003503,1.2501846597476325e-5,0.06408638087302448,dlpfc,4
215001_s_at,0.2807540290019562,4.444632899071366,1.438397918773275e-5,0.06408638087302448,dlpfc,5
209291_at,0.2547918118158389,4.350683605878045,2.1359984836513826e-5,0.07900207087424192,dlpfc,6
217941_s_at,0.25950067716904796,4.314570360819068,2.482446003140878e-5,0.07900207087424192,dlpfc,7
202975_s_at,0.23169913689482127,4.167390880193499,4.5361946859854826e-5,0.10499889827077565,dlpfc,8
215978_x_at,0.20516118212229797,4.144376333272615,4.977512682563692e-5,0.10499889827077565,dlpfc,9
201876_at,0.2380206843672329,4.137688406459704,5.113259162875276e-5,0.10499889827077565,dlpfc,10
213979_s_at,0.2387093838509836,4.118550405072021,5.521509365203702e-5,0.10499889827077565,dlpfc,11
209047_at,0.19918185169517913,4.1125407717545075,5.655998470392367e-5,0.10499889827077565,dlpfc,12
207547_s_at,0.2596772591465958,4.060692903427042,6.9534345107533e-5,0.10915673730175697,dlpfc,13
202935_s_at,0.2244836576235467,4.043130496650524,7.453919310662914e-5,0.10915673730175697,dlpfc,14
205856_at,0.196322185901878,4.035568165836492,7.679834921496106e-5,0.10915673730175697,dlpfc,15
211600_at,0.19232861702507084,4.022460375868526,8.086942281199292e-5,0.10915673730175697,dlpfc,16
203178_at,0.27254695965364595,4.000858134320571,8.803052066005959e-5,0.10915673730175697,dlpfc,17
201306_s_at,0.2002930870399845,4.0003687313071445,8.819954533517194e-5,0.10915673730175697,dlpfc,18
201061_s_at,0.1898031853007318,3.946716566343975,1.0872387848983355e-4,0.12747588637463272,dlpfc,19
218205_s_at,0.20072280391831882,3.9030158569865514,1.2871849637348883e-4,0.14337309718561053,dlpfc,20
