gene,beta_age,z_age,s2_resid,p_npml,q_npml,region,rank
201667_at,0.5144101040325563,5.708972827941265,0.9550293868280737,1.2663986044027718e-8,2.821156171028055e-4,ancg,1
218901_at,0.3762253041307114,4.175384623335927,0.5490127934546926,6.440436305465923e-8,7.173679978843218e-4,ancg,2
210066_s_at,0.36313894070703157,4.030150902970231,0.5792722245795637,3.1620795881343274e-7,0.0018501818605053206,ancg,3
201842_s_at,0.3535173864656924,3.92336996827286,0.5568644531354797,3.765962032445583e-7,0.0018501818605053206,ancg,4
210906_x_at,0.35077162800108375,3.8928972766525796,0.5562006921664051,4.478314946768567e-7,0.0018501818605053206,ancg,5
209292_at,0.34501530851406076,3.8290130891478116,0.542566682534368,4.98320741708126e-7,0.0018501818605053206,ancg,6
210067_at,0.33458316854651554,3.713236196071414,0.5443984244743832,1.0540683750672446e-6,0.003354497313053287,ancg,7
221795_at,0.34104260443435014,3.784923637041941,0.5994801607657665,1.9893117006570607e-6,0.004402705234594393,ancg,8
209291_at,0.3721599603057919,4.1302670464245,0.7279407902836046,2.0412358519296104e-6,0.004402705234594393,ancg,9
210068_s_at,0.33737390244617593,3.74420802939716,0.5889960279459192,2.068143853682918e-6,0.004402705234594393,ancg,10
200848_at,0.3151925448718125,3.498037188882573,0.517548909249982,2.318535737911939e-6,0.004402705234594393,ancg,11
201843_s_at,0.30653870054049764,3.4019959918737697,0.4894602325562136,2.3716147962083186e-6,0.004402705234594393,ancg,12
217941_s_at,0.3688858939200095,4.0939311426644815,0.7424672068082943,2.9046158577252854e-6,0.00497739442019586,ancg,13
203540_at,0.3694082166658744,4.099727930752785,0.7725698410677215,3.841022253838646e-6,0.0061118894820545375,ancg,14
221008_s_at,0.36525320865887356,4.05361525212168,0.7993981031563189,6.290640203851725e-6,0.009200367846067002,ancg,15
202975_s_at,0.2750861773204139,3.052932863008234,0.4390613585672308,6.607976187865154e-6,0.009200367846067002,ancg,16
209047_at,0.309075351345555,3.4301479865692928,0.5631289438226389,7.79698780752601e-6,0.010217264552250409,ancg,17
202976_s_at,0.31769423961154675,3.525801237801882,0.6086306966705931,9.750713149582437e-6,0.012067590935180441,ancg,18
209355_s_at,0.29927200368300805,3.3213494909923083,0.544017676527247,1.0539400001497462e-5,0.012357169149124155,ancg,19
204273_at,0.33385147281063365,3.705115766395317,0.7009660787985081,1.3742174011396855e-5,0.014668222119339108,ancg,20
